elapsed_ms,state,duty_pct,temp_tenths_c,rate_milli_c_per_s,peak_tenths_c,overshoot_tenths_c,fault
0,HEATING,75,291,0,291,0,0
1000,HEATING,75,289,0,325,0,0
2000,HEATING,75,307,0,325,0,0
3000,HEATING,75,276,0,325,0,0
4000,HEATING,75,295,0,325,0,0
5000,HEATING,75,286,0,325,0,0
6000,HEATING,75,308,0,325,0,0
7000,HEATING,75,285,0,325,0,0
8000,HEATING,75,306,0,326,0,0
9000,HEATING,75,295,0,326,0,0
10000,HEATING,75,310,190,326,0,0
11000,HEATING,75,337,190,337,0,0
12000,HEATING,75,341,190,341,0,0
13000,HEATING,75,349,190,349,0,0
14000,HEATING,75,350,190,354,0,0
15000,HEATING,75,374,190,374,0,0
16000,HEATING,75,381,190,388,0,0
17000,HEATING,75,404,190,404,0,0
18000,HEATING,75,427,190,427,0,0
19000,HEATING,75,436,190,436,0,0
20000,HEATING,75,451,1410,451,0,0
21000,HEATING,75,478,1410,478,0,0
22000,HEATING,75,495,1410,502,0,0
23000,HEATING,75,523,1410,529,0,0
24000,HEATING,75,548,1410,553,0,0
25000,HEATING,75,579,1410,582,0,0
26000,HEATING,75,622,1410,622,0,0
27000,HEATING,75,654,1410,654,0,0
28000,HEATING,75,681,1410,681,0,0
29000,HEATING,75,721,1410,721,0,0
30000,HEATING,75,768,3170,768,0,0
31000,HEATING,75,813,3170,813,0,0
32000,HEATING,75,861,3170,861,0,0
33000,HEATING,75,908,3170,908,0,0
34000,HEATING,75,960,3170,960,0,0
35000,HEATING,75,1006,3170,1006,0,0
36000,HEATING,75,1052,3170,1052,0,0
37000,COOLING,75,1102,3170,1102,2,0
38000,COOLING,75,1146,3170,1146,46,0
39000,COOLING,75,1191,3170,1191,91,0
40000,COOLING,75,1234,3170,1234,134,0
41000,COOLING,75,1272,3170,1272,172,0
42000,COOLING,75,1306,3170,1306,206,0
43000,COOLING,75,1338,3170,1338,238,0
44000,COOLING,75,1366,3170,1366,266,0
45000,COOLING,75,1391,3170,1391,291,0
46000,COOLING,75,1413,3170,1413,313,0
47000,COOLING,75,1428,3260,1428,328,0
48000,COOLING,75,1444,3260,1444,344,0
49000,COOLING,75,1455,3260,1456,356,0
50000,COOLING,75,1465,3260,1465,365,0
51000,COOLING,75,1473,3260,1473,373,0
52000,COOLING,75,1480,3260,1480,380,0
53000,COOLING,75,1485,3260,1485,385,0
54000,COOLING,75,1489,3260,1489,389,0
55000,COOLING,75,1491,3260,1491,391,0
56000,COOLING,75,1491,3260,1492,392,0
57000,COOLING,75,1492,640,1493,393,0
58000,COOLING,75,1492,640,1493,393,0
59000,COOLING,75,1491,640,1493,393,0
60000,COOLING,75,1489,640,1493,393,0
61000,COOLING,75,1489,640,1493,393,0
62000,COOLING,75,1489,640,1493,393,0
63000,COOLING,75,1485,640,1493,393,0
64000,COOLING,75,1483,640,1493,393,0
65000,COOLING,75,1480,640,1493,393,0
66000,COOLING,75,1478,640,1493,393,0
67000,COOLING,75,1474,-180,1493,393,0
68000,COOLING,75,1471,-180,1493,393,0
69000,COOLING,75,1468,-180,1493,393,0
70000,COOLING,75,1465,-180,1493,393,0
71000,COOLING,75,1462,-180,1493,393,0
72000,COOLING,75,1458,-180,1493,393,0
73000,COOLING,75,1455,-180,1493,393,0
74000,COOLING,75,1450,-180,1493,393,0
75000,COOLING,75,1447,-180,1493,393,0
76000,COOLING,75,1444,-180,1493,393,0
77000,COOLING,75,1439,-350,1493,393,0
78000,COOLING,75,1437,-350,1493,393,0
79000,COOLING,75,1432,-350,1493,393,0
80000,COOLING,75,1429,-350,1493,393,0
81000,COOLING,75,1426,-350,1493,393,0
82000,COOLING,75,1421,-350,1493,393,0
83000,COOLING,75,1418,-350,1493,393,0
84000,COOLING,75,1413,-350,1493,393,0
85000,COOLING,75,1409,-350,1493,393,0
86000,COOLING,75,1402,-350,1493,393,0
87000,COOLING,75,1398,-410,1493,393,0
88000,COOLING,75,1390,-410,1493,393,0
89000,COOLING,75,1383,-410,1493,393,0
90000,COOLING,75,1376,-410,1493,393,0
91000,COOLING,75,1370,-410,1493,393,0
92000,COOLING,75,1362,-410,1493,393,0
93000,COOLING,75,1356,-410,1493,393,0
94000,COOLING,75,1349,-410,1493,393,0
95000,COOLING,75,1341,-410,1493,393,0
96000,COOLING,75,1333,-410,1493,393,0
97000,COOLING,75,1324,-740,1493,393,0
98000,COOLING,75,1319,-740,1493,393,0
99000,COOLING,75,1311,-740,1493,393,0
100000,COOLING,75,1304,-740,1493,393,0
101000,COOLING,75,1296,-740,1493,393,0
102000,COOLING,75,1290,-740,1493,393,0
103000,COOLING,75,1281,-740,1493,393,0
104000,COOLING,75,1275,-740,1493,393,0
105000,COOLING,75,1268,-740,1493,393,0
106000,COOLING,75,1260,-740,1493,393,0
107000,COOLING,75,1252,-720,1493,393,0
108000,COOLING,75,1245,-720,1493,393,0
109000,COOLING,75,1239,-720,1493,393,0
110000,COOLING,75,1232,-720,1493,393,0
111000,COOLING,75,1224,-720,1493,393,0
112000,COOLING,75,1217,-720,1493,393,0
113000,COOLING,75,1210,-720,1493,393,0
114000,COOLING,75,1203,-720,1493,393,0
115000,COOLING,75,1195,-720,1493,393,0
116000,COOLING,75,1190,-720,1493,393,0
117000,COOLING,75,1183,-690,1493,393,0
118000,COOLING,75,1176,-690,1493,393,0
119000,COOLING,75,1168,-690,1493,393,0
120000,COOLING,75,1161,-690,1493,393,0
121000,COOLING,75,1154,-690,1493,393,0
122000,COOLING,75,1147,-690,1493,393,0
123000,COOLING,75,1141,-690,1493,393,0
124000,COOLING,75,1135,-690,1493,393,0
125000,COOLING,75,1128,-690,1493,393,0
126000,COOLING,75,1122,-690,1493,393,0
127000,COOLING,75,1115,-680,1493,393,0
128000,COOLING,75,1107,-680,1493,393,0
129000,COOLING,75,1102,-680,1493,393,0
130000,COOLING,75,1095,-680,1493,393,0
131000,COOLING,75,1089,-680,1493,393,0
132000,COOLING,75,1084,-680,1493,393,0
133000,COOLING,75,1077,-680,1493,393,0
134000,COOLING,75,1070,-680,1493,393,0
135000,COOLING,75,1065,-680,1493,393,0
136000,COOLING,75,1059,-680,1493,393,0
137000,COOLING,75,1053,-620,1493,393,0
138000,COOLING,75,1045,-620,1493,393,0
139000,COOLING,75,1040,-620,1493,393,0
140000,COOLING,75,1035,-620,1493,393,0
141000,COOLING,75,1029,-620,1493,393,0
142000,COOLING,75,1023,-620,1493,393,0
143000,COOLING,75,1018,-620,1493,393,0
144000,COOLING,75,1010,-620,1493,393,0
145000,COOLING,75,1006,-620,1493,393,0
146000,COOLING,75,1001,-620,1493,393,0
147000,COOLING,75,996,-570,1493,393,0
148000,COOLING,75,990,-570,1493,393,0
149000,COOLING,75,985,-570,1493,393,0
150000,COOLING,75,980,-570,1493,393,0
151000,COOLING,75,975,-570,1493,393,0
152000,COOLING,75,969,-570,1493,393,0
153000,COOLING,75,964,-570,1493,393,0
154000,COOLING,75,960,-570,1493,393,0
155000,COOLING,75,954,-570,1493,393,0
156000,COOLING,75,950,-570,1493,393,0
157000,COOLING,75,944,-520,1493,393,0
158000,COOLING,75,940,-520,1493,393,0
159000,COOLING,75,934,-520,1493,393,0
160000,COOLING,75,930,-520,1493,393,0
161000,COOLING,75,925,-520,1493,393,0
162000,COOLING,75,921,-520,1493,393,0
163000,COOLING,75,915,-520,1493,393,0
164000,COOLING,75,913,-520,1493,393,0
165000,COOLING,75,907,-520,1493,393,0
166000,COOLING,75,904,-520,1493,393,0
167000,COOLING,75,898,-460,1493,393,0
168000,COOLING,75,894,-460,1493,393,0
169000,COOLING,75,889,-460,1493,393,0
170000,COOLING,75,885,-460,1493,393,0
171000,COOLING,75,879,-460,1493,393,0
172000,COOLING,75,877,-460,1493,393,0
173000,COOLING,75,872,-460,1493,393,0
174000,COOLING,75,868,-460,1493,393,0
175000,COOLING,75,864,-460,1493,393,0
176000,COOLING,75,861,-460,1493,393,0
177000,COOLING,75,858,-400,1493,393,0
178000,COOLING,75,849,-400,1493,393,0
179000,COOLING,75,848,-400,1493,393,0
180000,COOLING,75,843,-400,1493,393,0
181000,COOLING,75,840,-400,1493,393,0
182000,COOLING,75,835,-400,1493,393,0
183000,COOLING,75,831,-400,1493,393,0
184000,COOLING,75,827,-400,1493,393,0
185000,COOLING,75,823,-400,1493,393,0
186000,COOLING,75,818,-400,1493,393,0
187000,COOLING,75,816,-420,1493,393,0
188000,COOLING,75,813,-420,1493,393,0
189000,COOLING,75,808,-420,1493,393,0
190000,COOLING,75,806,-420,1493,393,0
191000,COOLING,75,800,-420,1493,393,0
192000,COOLING,75,798,-420,1493,393,0
193000,COOLING,75,792,-420,1493,393,0
194000,COOLING,75,790,-420,1493,393,0
195000,COOLING,75,784,-420,1493,393,0
196000,COOLING,75,782,-420,1493,393,0
197000,COOLING,75,779,-370,1493,393,0
198000,COOLING,75,776,-370,1493,393,0
199000,COOLING,75,773,-370,1493,393,0
200000,COOLING,75,768,-370,1493,393,0
201000,COOLING,75,764,-370,1493,393,0
202000,COOLING,75,763,-370,1493,393,0
203000,COOLING,75,758,-370,1493,393,0
204000,COOLING,75,753,-370,1493,393,0
205000,COOLING,75,751,-370,1493,393,0
206000,COOLING,75,747,-370,1493,393,0
207000,COOLING,75,744,-350,1493,393,0
208000,COOLING,75,739,-350,1493,393,0
209000,COOLING,75,738,-350,1493,393,0
210000,COOLING,75,732,-350,1493,393,0
211000,COOLING,75,731,-350,1493,393,0
212000,COOLING,75,728,-350,1493,393,0
213000,COOLING,75,725,-350,1493,393,0
214000,COOLING,75,719,-350,1493,393,0
215000,COOLING,75,719,-350,1493,393,0
216000,COOLING,75,714,-350,1493,393,0
217000,COOLING,75,712,-320,1493,393,0
218000,COOLING,75,709,-320,1493,393,0
219000,COOLING,75,705,-320,1493,393,0
220000,COOLING,75,702,-320,1493,393,0
221000,COOLING,75,698,-320,1493,393,0
222000,COOLING,75,696,-320,1493,393,0
223000,COOLING,75,692,-320,1493,393,0
224000,COOLING,75,688,-320,1493,393,0
225000,COOLING,75,686,-320,1493,393,0
226000,COOLING,75,682,-320,1493,393,0
227000,COOLING,75,682,-300,1493,393,0
228000,COOLING,75,678,-300,1493,393,0
229000,COOLING,75,673,-300,1493,393,0
230000,COOLING,75,675,-300,1493,393,0
231000,COOLING,75,672,-300,1493,393,0
232000,COOLING,75,668,-300,1493,393,0
233000,COOLING,75,665,-300,1493,393,0
234000,COOLING,75,663,-300,1493,393,0
235000,COOLING,75,658,-300,1493,393,0
236000,COOLING,75,657,-300,1493,393,0
237000,COOLING,75,654,-280,1493,393,0
238000,COOLING,75,651,-280,1493,393,0
239000,COOLING,75,649,-280,1493,393,0
240000,COOLING,75,645,-280,1493,393,0
241000,COOLING,75,644,-280,1493,393,0
242000,COOLING,75,642,-280,1493,393,0
243000,COOLING,75,641,-280,1493,393,0
244000,COOLING,75,636,-280,1493,393,0
245000,COOLING,75,635,-280,1493,393,0
246000,COOLING,75,634,-280,1493,393,0
247000,COOLING,75,631,-230,1493,393,0
248000,COOLING,75,629,-230,1493,393,0
249000,COOLING,75,626,-230,1493,393,0
250000,COOLING,75,623,-230,1493,393,0
251000,COOLING,75,620,-230,1493,393,0
252000,COOLING,75,621,-230,1493,393,0
253000,COOLING,75,618,-230,1493,393,0
254000,COOLING,75,614,-230,1493,393,0
255000,COOLING,75,611,-230,1493,393,0
256000,COOLING,75,610,-230,1493,393,0
257000,COOLING,75,608,-230,1493,393,0
258000,COOLING,75,604,-230,1493,393,0
259000,COOLING,75,603,-230,1493,393,0
260000,COOLING,75,599,-230,1493,393,0
261000,COOLING,75,595,-230,1493,393,0
262000,COOLING,75,593,-230,1493,393,0
263000,COOLING,75,591,-230,1493,393,0
264000,COOLING,75,590,-230,1493,393,0
265000,COOLING,75,587,-230,1493,393,0
266000,COOLING,75,585,-230,1493,393,0
267000,COOLING,75,585,-230,1493,393,0
268000,COOLING,75,584,-230,1493,393,0
269000,COOLING,75,581,-230,1493,393,0
270000,COOLING,75,578,-230,1493,393,0
271000,COOLING,75,574,-230,1493,393,0
272000,COOLING,75,570,-230,1493,393,0
273000,COOLING,75,571,-230,1493,393,0
274000,COOLING,75,568,-230,1493,393,0
275000,COOLING,75,565,-230,1493,393,0
276000,COOLING,75,565,-230,1493,393,0
277000,COOLING,75,564,-210,1493,393,0
278000,COOLING,75,559,-210,1493,393,0
279000,COOLING,75,557,-210,1493,393,0
280000,COOLING,75,559,-210,1493,393,0
281000,COOLING,75,555,-210,1493,393,0
282000,COOLING,75,554,-210,1493,393,0
283000,COOLING,75,552,-210,1493,393,0
284000,COOLING,75,551,-210,1493,393,0
285000,COOLING,75,546,-210,1493,393,0
286000,COOLING,75,541,-210,1493,393,0
287000,COOLING,75,542,-220,1493,393,0
288000,COOLING,75,543,-220,1493,393,0
289000,COOLING,75,541,-220,1493,393,0
290000,COOLING,75,534,-220,1493,393,0
291000,COOLING,75,537,-220,1493,393,0
292000,COOLING,75,533,-220,1493,393,0
293000,COOLING,75,534,-220,1493,393,0
294000,COOLING,75,529,-220,1493,393,0
295000,COOLING,75,528,-220,1493,393,0
296000,COOLING,75,527,-220,1493,393,0
297000,COOLING,75,525,-170,1493,393,0
298000,COOLING,75,525,-170,1493,393,0
299000,COOLING,75,522,-170,1493,393,0
300000,COOLING,75,517,-170,1493,393,0
301000,COOLING,75,518,-170,1493,393,0
302000,COOLING,75,516,-170,1493,393,0
303000,COOLING,75,514,-170,1493,393,0
304000,COOLING,75,511,-170,1493,393,0
305000,COOLING,75,512,-170,1493,393,0
306000,COOLING,75,509,-170,1493,393,0
307000,COOLING,75,507,-180,1493,393,0
308000,COOLING,75,506,-180,1493,393,0
309000,COOLING,75,506,-180,1493,393,0
310000,COOLING,75,504,-180,1493,393,0
311000,COOLING,75,504,-180,1493,393,0
312000,COOLING,75,500,-180,1493,393,0
313000,COOLING,75,501,-180,1493,393,0
314000,COOLING,75,493,-180,1493,393,0
315000,COOLING,75,492,-180,1493,393,0
316000,COOLING,75,493,-180,1493,393,0
317000,COOLING,75,491,-160,1493,393,0
318000,COOLING,75,487,-160,1493,393,0
319000,COOLING,75,491,-160,1493,393,0
320000,COOLING,75,484,-160,1493,393,0
321000,COOLING,75,489,-160,1493,393,0
322000,COOLING,75,483,-160,1493,393,0
323000,COOLING,75,481,-160,1493,393,0
324000,COOLING,75,482,-160,1493,393,0
325000,COOLING,75,475,-160,1493,393,0
